Driver,LapNumber,LapTime,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,LapTimeSeconds
VER,1.0,0 days 00:01:27.905000,MEDIUM,1.0,1.0,,,1,False,87.905
VER,2.0,0 days 00:01:26.163000,MEDIUM,2.0,1.0,,,1,True,86.163
VER,3.0,0 days 00:01:25.702000,MEDIUM,3.0,1.0,,,1,True,85.702
VER,4.0,0 days 00:01:26.050000,MEDIUM,4.0,1.0,,,1,True,86.05
VER,5.0,0 days 00:01:26.176000,MEDIUM,5.0,1.0,,,1,True,86.176
VER,6.0,0 days 00:01:26.837000,MEDIUM,6.0,1.0,,,1,True,86.837
VER,7.0,0 days 00:01:26.368000,MEDIUM,7.0,1.0,,,1,True,86.368
VER,8.0,0 days 00:01:25.990000,MEDIUM,8.0,1.0,,,1,True,85.99
VER,9.0,0 days 00:01:26.605000,MEDIUM,9.0,1.0,,,1,True,86.605
VER,10.0,0 days 00:01:26.603000,MEDIUM,10.0,1.0,,,1,True,86.603
VER,11.0,0 days 00:01:26.643000,MEDIUM,11.0,1.0,,,1,True,86.643
VER,12.0,0 days 00:01:26.442000,MEDIUM,12.0,1.0,,,1,True,86.442
VER,13.0,0 days 00:01:26.666000,MEDIUM,13.0,1.0,,,1,True,86.666
VER,14.0,0 days 00:01:27.028000,MEDIUM,14.0,1.0,,,1,True,87.028
VER,15.0,0 days 00:01:26.782000,MEDIUM,15.0,1.0,,,1,True,86.782
VER,16.0,0 days 00:01:26.718000,MEDIUM,16.0,1.0,,,1,True,86.718
VER,17.0,0 days 00:01:26.733000,MEDIUM,17.0,1.0,,,1,True,86.733
VER,18.0,0 days 00:01:26.273000,MEDIUM,18.0,1.0,,,1,True,86.273
VER,19.0,0 days 00:01:26.438000,MEDIUM,19.0,1.0,,,1,True,86.438
VER,20.0,0 days 00:01:30.849000,MEDIUM,20.0,1.0,0 days 01:51:13.003000,,1,False,90.849
VER,21.0,0 days 00:01:45.660000,HARD,1.0,2.0,,0 days 01:51:37.284000,1,False,105.66
VER,22.0,0 days 00:01:25.885000,HARD,2.0,2.0,,,1,True,85.885
VER,23.0,0 days 00:01:26.159000,HARD,3.0,2.0,,,1,True,86.159
VER,24.0,0 days 00:01:26.327000,HARD,4.0,2.0,,,1,True,86.327
VER,25.0,0 days 00:01:25.914000,HARD,5.0,2.0,,,1,True,85.914
VER,26.0,0 days 00:01:25.786000,HARD,6.0,2.0,,,1,True,85.786
VER,27.0,0 days 00:01:25.501000,HARD,7.0,2.0,,,1,True,85.501
VER,28.0,0 days 00:01:25.434000,HARD,8.0,2.0,,,1,True,85.434
VER,29.0,0 days 00:01:25.471000,HARD,9.0,2.0,,,1,True,85.471
VER,30.0,0 days 00:01:25.398000,HARD,10.0,2.0,,,1,True,85.398
VER,31.0,0 days 00:01:25.502000,HARD,11.0,2.0,,,1,True,85.502
VER,32.0,0 days 00:01:25.410000,HARD,12.0,2.0,,,1,True,85.41
VER,33.0,0 days 00:01:25.240000,HARD,13.0,2.0,,,1,True,85.24
VER,34.0,0 days 00:01:25.683000,HARD,14.0,2.0,,,1,True,85.683
VER,35.0,0 days 00:01:25.815000,HARD,15.0,2.0,,,1,True,85.815
VER,36.0,0 days 00:01:25.598000,HARD,16.0,2.0,,,1,True,85.598
VER,37.0,0 days 00:01:25.683000,HARD,17.0,2.0,,,1,True,85.683
VER,38.0,0 days 00:01:25.585000,HARD,18.0,2.0,,,1,True,85.585
VER,39.0,0 days 00:01:25.486000,HARD,19.0,2.0,,,1,True,85.486
VER,40.0,0 days 00:01:25.901000,HARD,20.0,2.0,,,1,True,85.901
VER,41.0,0 days 00:01:25.779000,HARD,21.0,2.0,,,1,True,85.779
VER,42.0,0 days 00:01:25.912000,HARD,22.0,2.0,,,1,True,85.912
VER,43.0,0 days 00:01:25.994000,HARD,23.0,2.0,,,1,True,85.994
VER,44.0,0 days 00:01:25.751000,HARD,24.0,2.0,,,1,True,85.751
VER,45.0,0 days 00:01:25.916000,HARD,25.0,2.0,,,1,True,85.916
VER,46.0,0 days 00:01:26.185000,HARD,26.0,2.0,,,1,True,86.185
VER,47.0,0 days 00:01:26.137000,HARD,27.0,2.0,,,1,True,86.137
VER,48.0,0 days 00:01:27.235000,HARD,28.0,2.0,,,1,True,87.235
VER,49.0,0 days 00:01:27.907000,HARD,29.0,2.0,,,1,True,87.907
VER,50.0,0 days 00:01:28.393000,HARD,30.0,2.0,,,1,True,88.393
VER,51.0,0 days 00:01:27.525000,HARD,31.0,2.0,,,1,True,87.525
GAS,1.0,0 days 00:01:35.974000,MEDIUM,1.0,1.0,,,1,False,95.974
GAS,2.0,0 days 00:01:28.696000,MEDIUM,2.0,1.0,,,1,True,88.696
GAS,3.0,0 days 00:01:27.916000,MEDIUM,3.0,1.0,,,1,True,87.916
GAS,4.0,0 days 00:01:27.472000,MEDIUM,4.0,1.0,,,1,True,87.472
GAS,5.0,0 days 00:01:27.694000,MEDIUM,5.0,1.0,,,1,True,87.694
GAS,6.0,0 days 00:01:27.324000,MEDIUM,6.0,1.0,,,1,True,87.324
GAS,7.0,0 days 00:01:27.210000,MEDIUM,7.0,1.0,,,1,True,87.21
GAS,8.0,0 days 00:01:27.240000,MEDIUM,8.0,1.0,,,1,True,87.24
GAS,9.0,0 days 00:01:27.366000,MEDIUM,9.0,1.0,,,1,True,87.366
GAS,10.0,0 days 00:01:32.034000,MEDIUM,10.0,1.0,0 days 01:37:06.997000,,1,False,92.034
GAS,11.0,0 days 00:01:50.170000,HARD,4.0,2.0,,0 days 01:37:34.372000,1,False,110.17
GAS,12.0,0 days 00:01:27.431000,HARD,5.0,2.0,,,1,True,87.431
GAS,13.0,0 days 00:01:27.368000,HARD,6.0,2.0,,,1,True,87.368
GAS,14.0,0 days 00:01:27.348000,HARD,7.0,2.0,,,1,True,87.348
GAS,15.0,0 days 00:01:27.363000,HARD,8.0,2.0,,,1,True,87.363
GAS,16.0,0 days 00:01:27.088000,HARD,9.0,2.0,,,1,True,87.088
GAS,17.0,0 days 00:01:27.076000,HARD,10.0,2.0,,,1,True,87.076
GAS,18.0,0 days 00:01:27.053000,HARD,11.0,2.0,,,1,True,87.053
GAS,19.0,0 days 00:01:27.136000,HARD,12.0,2.0,,,1,True,87.136
GAS,20.0,0 days 00:01:27.035000,HARD,13.0,2.0,,,1,True,87.035
GAS,21.0,0 days 00:01:27.706000,HARD,14.0,2.0,,,1,True,87.706
GAS,22.0,0 days 00:01:27.219000,HARD,15.0,2.0,,,1,True,87.219
GAS,23.0,0 days 00:01:27.454000,HARD,16.0,2.0,,,1,True,87.454
GAS,24.0,0 days 00:01:27.060000,HARD,17.0,2.0,,,1,True,87.06
GAS,25.0,0 days 00:01:27.223000,HARD,18.0,2.0,,,1,True,87.223
GAS,26.0,0 days 00:01:27.590000,HARD,19.0,2.0,,,1,True,87.59
GAS,27.0,0 days 00:01:27.189000,HARD,20.0,2.0,,,1,True,87.189
GAS,28.0,0 days 00:01:27.521000,HARD,21.0,2.0,,,1,True,87.521
GAS,29.0,0 days 00:01:27.383000,HARD,22.0,2.0,,,1,True,87.383
GAS,30.0,0 days 00:01:27.658000,HARD,23.0,2.0,,,1,True,87.658
GAS,31.0,0 days 00:01:32.204000,HARD,24.0,2.0,0 days 02:08:08.289000,,1,False,92.204
GAS,32.0,0 days 00:01:46.720000,MEDIUM,1.0,3.0,,0 days 02:08:32.961000,1,False,106.72
GAS,33.0,0 days 00:01:26.439000,MEDIUM,2.0,3.0,,,1,True,86.439
GAS,34.0,0 days 00:01:26.877000,MEDIUM,3.0,3.0,,,1,True,86.877
GAS,35.0,0 days 00:01:26.903000,MEDIUM,4.0,3.0,,,1,True,86.903
GAS,36.0,0 days 00:01:26.797000,MEDIUM,5.0,3.0,,,1,True,86.797
GAS,37.0,0 days 00:01:26.499000,MEDIUM,6.0,3.0,,,1,True,86.499
GAS,38.0,0 days 00:01:26.357000,MEDIUM,7.0,3.0,,,1,True,86.357
GAS,39.0,0 days 00:01:26.736000,MEDIUM,8.0,3.0,,,1,True,86.736
GAS,40.0,0 days 00:01:26.548000,MEDIUM,9.0,3.0,,,1,True,86.548
GAS,41.0,0 days 00:01:26.346000,MEDIUM,10.0,3.0,,,1,True,86.346
GAS,42.0,0 days 00:01:26.425000,MEDIUM,11.0,3.0,,,1,True,86.425
GAS,43.0,0 days 00:01:25.921000,MEDIUM,12.0,3.0,,,1,True,85.921
GAS,44.0,0 days 00:01:25.758000,MEDIUM,13.0,3.0,,,1,True,85.758
GAS,45.0,0 days 00:01:26.297000,MEDIUM,14.0,3.0,,,1,True,86.297
GAS,46.0,0 days 00:01:26.292000,MEDIUM,15.0,3.0,,,1,True,86.292
GAS,47.0,0 days 00:01:26.144000,MEDIUM,16.0,3.0,,,1,True,86.144
GAS,48.0,0 days 00:01:26.288000,MEDIUM,17.0,3.0,,,1,True,86.288
GAS,49.0,0 days 00:01:27.913000,MEDIUM,18.0,3.0,,,1,True,87.913
GAS,50.0,0 days 00:01:27.375000,MEDIUM,19.0,3.0,,,1,True,87.375
PER,1.0,0 days 00:01:29.806000,MEDIUM,1.0,1.0,,,1,False,89.806
PER,2.0,0 days 00:01:26.881000,MEDIUM,2.0,1.0,,,1,True,86.881
PER,3.0,0 days 00:01:26.143000,MEDIUM,3.0,1.0,,,1,True,86.143
PER,4.0,0 days 00:01:26.019000,MEDIUM,4.0,1.0,,,1,True,86.019
PER,5.0,0 days 00:01:26.354000,MEDIUM,5.0,1.0,,,1,True,86.354
PER,6.0,0 days 00:01:26.465000,MEDIUM,6.0,1.0,,,1,True,86.465
PER,7.0,0 days 00:01:26.333000,MEDIUM,7.0,1.0,,,1,True,86.333
PER,8.0,0 days 00:01:26.887000,MEDIUM,8.0,1.0,,,1,True,86.887
PER,9.0,0 days 00:01:26.564000,MEDIUM,9.0,1.0,,,1,True,86.564
PER,10.0,0 days 00:01:26.454000,MEDIUM,10.0,1.0,,,1,True,86.454
PER,11.0,0 days 00:01:27.245000,MEDIUM,11.0,1.0,,,1,True,87.245
PER,12.0,0 days 00:01:26.968000,MEDIUM,12.0,1.0,,,1,True,86.968
PER,13.0,0 days 00:01:27.014000,MEDIUM,13.0,1.0,,,1,True,87.014
PER,14.0,0 days 00:01:27.451000,MEDIUM,14.0,1.0,,,1,True,87.451
PER,15.0,0 days 00:01:26.779000,MEDIUM,15.0,1.0,,,1,True,86.779
PER,16.0,0 days 00:01:26.823000,MEDIUM,16.0,1.0,,,1,True,86.823
PER,17.0,0 days 00:01:27.011000,MEDIUM,17.0,1.0,,,1,True,87.011
PER,18.0,0 days 00:01:26.765000,MEDIUM,18.0,1.0,,,1,True,86.765
PER,19.0,0 days 00:01:26.669000,MEDIUM,19.0,1.0,,,1,True,86.669
PER,20.0,0 days 00:01:26.509000,MEDIUM,20.0,1.0,,,1,True,86.509
PER,21.0,0 days 00:01:30.934000,MEDIUM,21.0,1.0,0 days 01:52:46.112000,,1,False,90.934
PER,22.0,0 days 00:01:45.228000,HARD,1.0,2.0,,0 days 01:53:09.955000,1,False,105.228
PER,23.0,0 days 00:01:25.564000,HARD,2.0,2.0,,,1,True,85.564
PER,24.0,0 days 00:01:25.759000,HARD,3.0,2.0,,,1,True,85.759
PER,25.0,0 days 00:01:26.005000,HARD,4.0,2.0,,,1,True,86.005
PER,26.0,0 days 00:01:25.884000,HARD,5.0,2.0,,,1,True,85.884
PER,27.0,0 days 00:01:26.456000,HARD,6.0,2.0,,,1,True,86.456
PER,28.0,0 days 00:01:25.584000,HARD,7.0,2.0,,,1,True,85.584
PER,29.0,0 days 00:01:25.606000,HARD,8.0,2.0,,,1,True,85.606
PER,30.0,0 days 00:01:25.757000,HARD,9.0,2.0,,,1,True,85.757
PER,31.0,0 days 00:01:26.415000,HARD,10.0,2.0,,,1,True,86.415
PER,32.0,0 days 00:01:25.880000,HARD,11.0,2.0,,,1,True,85.88
PER,33.0,0 days 00:01:26.020000,HARD,12.0,2.0,,,1,True,86.02
PER,34.0,0 days 00:01:25.948000,HARD,13.0,2.0,,,1,True,85.948
PER,35.0,0 days 00:01:25.651000,HARD,14.0,2.0,,,1,True,85.651
PER,36.0,0 days 00:01:25.627000,HARD,15.0,2.0,,,1,True,85.627
PER,37.0,0 days 00:01:25.757000,HARD,16.0,2.0,,,1,True,85.757
PER,38.0,0 days 00:01:25.584000,HARD,17.0,2.0,,,1,True,85.584
PER,39.0,0 days 00:01:25.522000,HARD,18.0,2.0,,,1,True,85.522
PER,40.0,0 days 00:01:25.626000,HARD,19.0,2.0,,,1,True,85.626
PER,41.0,0 days 00:01:26.719000,HARD,20.0,2.0,,,1,True,86.719
PER,42.0,0 days 00:01:26.539000,HARD,21.0,2.0,,,1,True,86.539
PER,43.0,0 days 00:01:26.624000,HARD,22.0,2.0,,,1,True,86.624
PER,44.0,0 days 00:01:26.329000,HARD,23.0,2.0,,,1,True,86.329
PER,45.0,0 days 00:01:26.573000,HARD,24.0,2.0,,,1,True,86.573
PER,46.0,0 days 00:01:25.598000,HARD,25.0,2.0,,,1,True,85.598
PER,47.0,0 days 00:01:26.476000,HARD,26.0,2.0,,,1,True,86.476
PER,48.0,0 days 00:01:26.108000,HARD,27.0,2.0,,,1,True,86.108
PER,49.0,0 days 00:01:26.006000,HARD,28.0,2.0,,,1,True,86.006
PER,50.0,0 days 00:01:26.385000,HARD,29.0,2.0,,,1,True,86.385
PER,51.0,0 days 00:01:25.903000,HARD,30.0,2.0,,,1,True,85.903
ALO,1.0,0 days 00:01:33.340000,MEDIUM,1.0,1.0,,,1,False,93.34
ALO,2.0,0 days 00:01:28.012000,MEDIUM,2.0,1.0,,,1,True,88.012
ALO,3.0,0 days 00:01:27.546000,MEDIUM,3.0,1.0,,,1,True,87.546
ALO,4.0,0 days 00:01:27.221000,MEDIUM,4.0,1.0,,,1,True,87.221
ALO,5.0,0 days 00:01:27.033000,MEDIUM,5.0,1.0,,,1,True,87.033
ALO,6.0,0 days 00:01:27.175000,MEDIUM,6.0,1.0,,,1,True,87.175
ALO,7.0,0 days 00:01:26.929000,MEDIUM,7.0,1.0,,,1,True,86.929
ALO,8.0,0 days 00:01:26.943000,MEDIUM,8.0,1.0,,,1,True,86.943
ALO,9.0,0 days 00:01:27.383000,MEDIUM,9.0,1.0,,,1,True,87.383
ALO,10.0,0 days 00:01:27.368000,MEDIUM,10.0,1.0,,,1,True,87.368
ALO,11.0,0 days 00:01:27.343000,MEDIUM,11.0,1.0,,,1,True,87.343
ALO,12.0,0 days 00:01:27.339000,MEDIUM,12.0,1.0,,,1,True,87.339
ALO,13.0,0 days 00:01:27.158000,MEDIUM,13.0,1.0,,,1,True,87.158
ALO,14.0,0 days 00:01:27.607000,MEDIUM,14.0,1.0,,,1,True,87.607
ALO,15.0,0 days 00:01:26.929000,MEDIUM,15.0,1.0,,,1,True,86.929
ALO,16.0,0 days 00:01:27.164000,MEDIUM,16.0,1.0,,,1,True,87.164
ALO,17.0,0 days 00:01:27.156000,MEDIUM,17.0,1.0,,,1,True,87.156
ALO,18.0,0 days 00:01:27.275000,MEDIUM,18.0,1.0,,,1,True,87.275
ALO,19.0,0 days 00:01:27.318000,MEDIUM,19.0,1.0,,,1,True,87.318
ALO,20.0,0 days 00:01:28.284000,MEDIUM,20.0,1.0,,,1,True,88.284
ALO,21.0,0 days 00:01:32.377000,MEDIUM,21.0,1.0,0 days 01:53:02.971000,,1,False,92.377
ALO,22.0,0 days 00:01:47.272000,HARD,4.0,2.0,,0 days 01:53:27.799000,1,False,107.272
ALO,23.0,0 days 00:01:26.849000,HARD,5.0,2.0,,,1,True,86.849
ALO,24.0,0 days 00:01:26.949000,HARD,6.0,2.0,,,1,True,86.949
ALO,25.0,0 days 00:01:26.899000,HARD,7.0,2.0,,,1,True,86.899
ALO,26.0,0 days 00:01:26.792000,HARD,8.0,2.0,,,1,True,86.792
ALO,27.0,0 days 00:01:26.666000,HARD,9.0,2.0,,,1,True,86.666
ALO,28.0,0 days 00:01:26.723000,HARD,10.0,2.0,,,1,True,86.723
ALO,29.0,0 days 00:01:26.997000,HARD,11.0,2.0,,,1,True,86.997
ALO,30.0,0 days 00:01:26.915000,HARD,12.0,2.0,,,1,True,86.915
ALO,31.0,0 days 00:01:26.848000,HARD,13.0,2.0,,,1,True,86.848
ALO,32.0,0 days 00:01:26.747000,HARD,14.0,2.0,,,1,True,86.747
ALO,33.0,0 days 00:01:26.769000,HARD,15.0,2.0,,,1,True,86.769
ALO,34.0,0 days 00:01:26.563000,HARD,16.0,2.0,,,1,True,86.563
ALO,35.0,0 days 00:01:26.517000,HARD,17.0,2.0,,,1,True,86.517
ALO,36.0,0 days 00:01:26.457000,HARD,18.0,2.0,,,1,True,86.457
ALO,37.0,0 days 00:01:26.380000,HARD,19.0,2.0,,,1,True,86.38
ALO,38.0,0 days 00:01:26.574000,HARD,20.0,2.0,,,1,True,86.574
ALO,39.0,0 days 00:01:26.707000,HARD,21.0,2.0,,,1,True,86.707
ALO,40.0,0 days 00:01:26.610000,HARD,22.0,2.0,,,1,True,86.61
ALO,41.0,0 days 00:01:26.815000,HARD,23.0,2.0,,,1,True,86.815
ALO,42.0,0 days 00:01:26.403000,HARD,24.0,2.0,,,1,True,86.403
ALO,43.0,0 days 00:01:26.105000,HARD,25.0,2.0,,,1,True,86.105
ALO,44.0,0 days 00:01:26.155000,HARD,26.0,2.0,,,1,True,86.155
ALO,45.0,0 days 00:01:26.277000,HARD,27.0,2.0,,,1,True,86.277
ALO,46.0,0 days 00:01:26.453000,HARD,28.0,2.0,,,1,True,86.453
ALO,47.0,0 days 00:01:26.912000,HARD,29.0,2.0,,,1,True,86.912
ALO,48.0,0 days 00:01:27.183000,HARD,30.0,2.0,,,1,True,87.183
ALO,49.0,0 days 00:01:27.245000,HARD,31.0,2.0,,,1,True,87.245
ALO,50.0,0 days 00:01:27.360000,HARD,32.0,2.0,,,1,True,87.36
ALO,51.0,0 days 00:01:27.395000,HARD,33.0,2.0,,,1,True,87.395
LEC,1.0,0 days 00:01:28.755000,MEDIUM,1.0,1.0,,,1,False,88.755
LEC,2.0,0 days 00:01:26.312000,MEDIUM,2.0,1.0,,,1,True,86.312
LEC,3.0,0 days 00:01:25.719000,MEDIUM,3.0,1.0,,,1,True,85.719
LEC,4.0,0 days 00:01:26.025000,MEDIUM,4.0,1.0,,,1,True,86.025
LEC,5.0,0 days 00:01:26.266000,MEDIUM,5.0,1.0,,,1,True,86.266
LEC,6.0,0 days 00:01:26.483000,MEDIUM,6.0,1.0,,,1,True,86.483
LEC,7.0,0 days 00:01:26.473000,MEDIUM,7.0,1.0,,,1,True,86.473
LEC,8.0,0 days 00:01:25.972000,MEDIUM,8.0,1.0,,,1,True,85.972
LEC,9.0,0 days 00:01:26.678000,MEDIUM,9.0,1.0,,,1,True,86.678
LEC,10.0,0 days 00:01:26.787000,MEDIUM,10.0,1.0,,,1,True,86.787
LEC,11.0,0 days 00:01:26.838000,MEDIUM,11.0,1.0,,,1,True,86.838
LEC,12.0,0 days 00:01:26.694000,MEDIUM,12.0,1.0,,,1,True,86.694
LEC,13.0,0 days 00:01:26.557000,MEDIUM,13.0,1.0,,,1,True,86.557
LEC,14.0,0 days 00:01:26.940000,MEDIUM,14.0,1.0,,,1,True,86.94
LEC,15.0,0 days 00:01:27.314000,MEDIUM,15.0,1.0,,,1,True,87.314
LEC,16.0,0 days 00:01:27.155000,MEDIUM,16.0,1.0,,,1,True,87.155
LEC,17.0,0 days 00:01:27.670000,MEDIUM,17.0,1.0,,,1,True,87.67
LEC,18.0,0 days 00:01:27.498000,MEDIUM,18.0,1.0,,,1,True,87.498
LEC,19.0,0 days 00:01:27.702000,MEDIUM,19.0,1.0,,,1,True,87.702
LEC,20.0,0 days 00:01:31.155000,MEDIUM,20.0,1.0,0 days 01:51:19.066000,,1,False,91.155
LEC,21.0,0 days 00:01:45.842000,HARD,1.0,2.0,,0 days 01:51:42.956000,1,False,105.842
LEC,22.0,0 days 00:01:25.742000,HARD,2.0,2.0,,,1,True,85.742
LEC,23.0,0 days 00:01:25.807000,HARD,3.0,2.0,,,1,True,85.807
LEC,24.0,0 days 00:01:25.933000,HARD,4.0,2.0,,,1,True,85.933
LEC,25.0,0 days 00:01:26.061000,HARD,5.0,2.0,,,1,True,86.061
LEC,26.0,0 days 00:01:25.763000,HARD,6.0,2.0,,,1,True,85.763
LEC,27.0,0 days 00:01:26.234000,HARD,7.0,2.0,,,1,True,86.234
LEC,28.0,0 days 00:01:25.663000,HARD,8.0,2.0,,,1,True,85.663
LEC,29.0,0 days 00:01:25.814000,HARD,9.0,2.0,,,1,True,85.814
LEC,30.0,0 days 00:01:25.782000,HARD,10.0,2.0,,,1,True,85.782
LEC,31.0,0 days 00:01:26.496000,HARD,11.0,2.0,,,1,True,86.496
LEC,32.0,0 days 00:01:26.869000,HARD,12.0,2.0,,,1,True,86.869
LEC,33.0,0 days 00:01:25.962000,HARD,13.0,2.0,,,1,True,85.962
